  669 WYTORRINGTON.DLY                 42.07   -104.13      1251                                       
  670 AZ8619.DLY                      31.712  -110.069      1420    TOMBSTONE                         
  671 CO3553.DLY                      40.402  -104.699    1437.1    GREELEY                            
  672 FL5076.DLY                      28.873   -81.784      20.7    LISBON                            
  673 GA0435.DLY                      33.948   -83.327     239.3    ATHENS                            
  674 KY6580.DLY                      37.124    -87.87     151.5    PRINCETON                         
  675 MN1891.DLY                      47.801   -96.603     270.6    CROOKSTON                         
  676 MS6308.DLY                      32.338   -89.082     106.4    NEWTON                            
  677 MT3110.DLY                      48.498  -109.797     796.4    FORT                               
  678 ND5479.DLY                      46.813   -100.91     533.4    MANDAN                            
  679 NE4815.DLY                      40.823   -96.702     353.6    LINCOLN                           
  680 NM6687.DLY                      34.615  -105.474    1874.4    PEDERNAL                          
  681 NM8713.DLY                      33.242  -103.361    1222.8    TATUM                             
  682 NY3184.DLY                      42.877   -77.031     218.8    GENEVA                            
  683 OH4979.DLY                      40.241   -83.367     304.8    MARYSVIL                          
  684 OK1750.DLY                      35.049   -97.916     330.7    CHICKASHA                          
  685 TX1430.DLY                      34.981  -101.926    1094.2    CANYON                            
  686 TX1956.DLY                       30.33   -95.483      74.7    CONROE                            
  687 WA7059.DLY                      47.114  -118.377     557.8    RITZVILLE                         
  688 WY8997.DLY                      42.488  -104.156    1481.3    TORRINGTON                        
  689 CA9367.DLY                      36.328  -119.299      99.1    VISALIA                           
  690 CA8587.DLY                      39.586  -122.534     243.8    STONY                              
  691 TX-PRB01.DLY                    30.272    103.44      1364    west                               
  800 COTTONWOOD.DLY                 43.9611  -101.861       735    COTTONWOOD                        
  900 OK3304.DLY                      36.544   -99.535       619    =                                  
  901 FtSupply.DLY                     36.55   -99.583       633    =                                  
 1000 HaysNOAA.DLY                    38.859   -99.336       613    Hays                              
